Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	20 mg/mL 	sol or 	30/11/2012
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	10mg/ml 	sol inj 	1/7/2014
Lactulose 	Daiichi Sankyo 	LACTULONA 	104540043 	667mg/mL 	xpe 	12/11/2012
Lamivudina 	Glaxosmithkline 	EPIVIR 	101070236 	10mg/mL 	sol or 	12/11/2012
Lamivudina 	Glaxosmithkline 	EPIVIR 	101070236 	150mg 	com rev 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	25mg 	com 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	50mg 	com 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	100mg 	com 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	5mg 	com disp 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	25mg 	com disp 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	50mg 	com disp 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	100mg 	com disp 	12/11/2012
Lamotrigina 	Glaxosmithkline 	LAMICTAL 	101070006 	200mg 	com disp 	12/11/2012
Lansoprazol 	EMS 	LANSOPRAZOL 	135690197 	15mg 	cap gel dura lib retard 	11/2/2015
Lansoprazol 	Legrand 	LANSOPRAZOL 	167730301 	30mg 	cap gel dura lib retard 	23/9/2014
Lapatinibe (ditosilato) 	Glaxosmithkline 	TYKERB 	101070264 	250mg 	com rev 	6/6/2013
Latanoprosta 	Pfizer 	XALATAN 	102160129 	50mcg/mL 	sol oft 	12/11/2012
Leflunomida 	Sanofi-Aventis 	ARAVA 	113000264 	20mg 	com rev 	12/11/2012
Leflunomida 	Sanofi-Aventis 	ARAVA 	113000264 	100mg 	com rev 	12/11/2012
Lercanidipino (cloridrato) 	Medley 	ZANIDIP 	101810454 	10mg 	com rev 	21/1/2013
Lercanidipino (cloridrato) 	Medley 	ZANIDIP 	101810454 	20mg 	com rev 	21/1/2013
Letrozol 	Novartis Biociências 	FEMARA 	100680100 	2,5mg 	com rev 	12/11/2012
Levamisol (cloridrato) 	Janssen Cilag 	ASCARIDIL 	112363331 	80mg 	com 	12/11/2012
Levamisol (cloridrato) 	Janssen Cilag 	ASCARIDIL 	112363331 	150mg 	com 	12/11/2012
Levanlodipino (besiltato) 	Biolab Sanus 	NOVANLO 	109740219 	2,5mg 	com 	23/7/2013
Levanlodipino (besiltato) 	Biolab Sanus 	NOVANLO 	109740219 	5mg 	com 	23/7/2013
Levobunolol (cloridrato) 	Allergan 	BETAGAN 	101470041 	5mg/mL 	sol oft 	12/11/2012
Levocetirizina (dicloridrato) 	Chiesi 	ZYXEM 	100580105 	5mg/ml 	sol or 	29/10/2014
Levocetirizina (dicloridrato) 	Chiesi 	ZYXEM 	100580105 	5mg 	com rev 	12/11/2012
Levofloxacino (hemiidratado) 	HalexIstar 	LEVAFLOX 	103110087 	5mg/ml 	sol inj bolsa 	23/9/2014
Levofloxacino (hemiidratado) 	Janssen Cilag 	LEVAQUIN 	112363316 	500mg 	com rev 	12/11/2012
Levofloxacino (hemiidratado) 	Eurofarma 	TAMIRAM 	100431111 	750mg 	com rev 	29/1/2016
Levomepromazina (cloridrato) 	Sanofi-Aventis 	NEOZINE 	113000301 	40mg/ml 	sol or 	12/11/2012
Levomepromazina (cloridrato) 	Sanofi-Aventis 	NEOZINE 	113000301 	5mg/ml 	sol inj 	12/11/2012
Levomepromazina (maleato) 	Sanofi-Aventis 	NEOZINE 	113000301 	25mg 	com rev 	12/11/2012
Levomepromazina (maleato) 	Sanofi-Aventis 	NEOZINE 	113000301 	100mg 	com rev 	12/11/2012
Levonorgestrel 	Aché 	POSTINOR UNO 	105730259 	1,5mg 	com 	12/11/2012
Levonorgestrel 	Schering do Brasil 	MIRENA 	100200087 	52mg 	sistema intrauterino 	12/11/2013
Levosimendana 	Abbott 	SIMDAX 	105530255 	2,5mg/ml 	sol inj 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	25mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	50mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	75mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	88mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	100mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	112mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	125mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	150mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	175mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	200mcg 	com 	12/11/2012
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	300mcg 	com 	5/8/2015
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	12,5mcg 	com 	30/11/2015
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	37,5mcg 	com 	30/11/2015
Levotiroxina sódica 	Sanofi-Aventis 	PURAN T4 	113001023 	62,5mcg 	com 	30/11/2015
Levotiroxina sódica 	Aché 	LEVOID 	105730366 	38mcg 	com 	30/11/2015
Lisdexanfetamina (dimesilato) 	Shire 	VENVANSE 	169790004 	30mg 	cap gel dura 	23/7/2013
Lisdexanfetamina (dimesilato) 	Shire 	VENVANSE 	169790004 	50mg 	cap gel dura 	23/7/2013
Lisdexanfetamina (dimesilato) 	Shire 	VENVANSE 	169790004 	70mg 	cap gel dura 	23/7/2013
Lidocaína base 	Astrazeneca 	XYLOCAÍNA 	116180101 	50mg/g 	pom derm 	12/11/2012
Lidocaína base 	Biosintética 	DERMOMAX 	112130330 	40mg/g 	crem derm 	12/11/2012
Lidocaína base 	Cristália 	XYLESTESIN 	102980357 	100mg/ml 	sol top 	15/4/2013
Lidocaína (cloridrato) 	Astrazeneca 	XYLOCAÍNA GELÉIA 	116180101 	20mg/mL 	geléia top 	12/11/2012
Limeciclina 	Galderma 	TETRALYSAL 	129160022 	150mg 	cap gel dura 	12/11/2012
Limeciclina 	Galderma 	TETRALYSAL 	129160022 	300mg 	cap gel dura 	12/11/2012
Linagliptina 	Boehringer Ingelheim 	TRAYENTA 	103670167 	5 mg 	com rev 	22/4/2013
Lincomicina (cloridrato) 	Pfizer 	FRADEMICINA 	102160130 	300mg/mL 	sol inj 	12/11/2012
Linestrenol 	Schering Plough 	EXLUTON 	101710083 	0,5mg 	com 	12/11/2012
Linezolida 	Pfizer 	ZYVOX 	102160177 	2mg/mL 	sol inj infus 	12/11/2012
Linezolida 	Pfizer 	ZYVOX 	102160177 	600mg 	com rev 	12/11/2012
Lisinopril 	Astrazeneca 	ZESTRIL 	116180041 	5mg 	com 	12/11/2012
Lisinopril 	Astrazeneca 	ZESTRIL 	116180041 	10mg 	com 	12/11/2012
Lisinopril 	Astrazeneca 	ZESTRIL 	116180041 	20mg 	com 	12/11/2012
Lítio (carbonato) 	Eurofarma 	CARBOLITIUM 	100430518 	300mg 	com rev 	12/11/2012
Lítio (carbonato) 	Eurofarma 	CARBOLITIUM CR 	100430518 	450mg 	com rev lib prol 	12/11/2012
Loperamida (cloridrato) 	Janssen Cilag 	IMOSEC 	112360015 	2mg 	com 	12/11/2012
Loratadina 	Merck Sharp & Dohme 	CLARITIN 	100290192 	10mg 	com 	12/11/2012
Loratadina 	Merck Sharp & Dohme 	CLARITIN 	100290192 	1 mg/ml 	sol or 	21/1/2013
Loratadina 	Merck Sharp & Dohme 	CLARITIN 	100290192 	1mg/mL 	xpe 	12/11/2012
Lorazepam 	Wyeth 	LORAX 	121100035 	1mg 	com 	12/11/2012
Lorazepam 	Wyeth 	LORAX 	121100035 	2mg 	com 	12/11/2012
Lornoxicam 	Biolab Sanus 	XEFO 	109740216 	8mg 	com rev 	29/10/2015
Losartana potássica 	Merck Sharp & Dohme 	COZAAR 	100290007 	12,5mg 	com rev 	12/11/2012
Losartana potássica 	Merck Sharp & Dohme 	COZAAR 	100290007 	50mg 	com rev 	12/11/2012
Losartana potássica 	Merck Sharp & Dohme 	COZAAR 	100290007 	100mg 	com rev 	12/11/2012
Loteprednol (etabonato) 	Baush & Lomb 	LOTEPROL 	119610007 	5mg/ml 	sus oft 	12/11/2012
Loteprednol (etabonato) 	Baush & Lomb 	ALREX 	119610005 	2mg/ml 	sus oft 	12/11/2012
Lovastatina 	Sandoz 	LOVASTATINA 	100470393 	10mg 	com 	7/6/2013
Lovastatina 	Sandoz 	LOVASTATINA 	100470393 	20mg 	com 	7/6/2013
Lovastatina 	Sandoz 	LOVASTATINA 	100470393 	40mg 	com 	7/6/2013
Loxoprofeno sódico 	Daiichi Sankyo 	LOXONIN 	104540159 	60mg 	com 	29/12/2015
Macrogol 3350 	Schering Plough 	HARMOLAX 	101710183 	17 g 	po prep extemp 	21/1/2013
Malato de sunitinibe 	Pfizer 	SUTENT 	102160205 	12,5mg 	cap gel dura 	12/11/2012
Malato de sunitinibe 	Pfizer 	SUTENT 	102160205 	25mg 	cap gel dura 	12/11/2012
Malato de sunitinibe 	Pfizer 	SUTENT 	102160205 	37,5mg 	cap gel dura 	12/11/2012
Malato de sunitinibe 	Pfizer 	SUTENT 	102160205 	50mg 	cap gel dura 	12/11/2012
Maleato de asenapina 	Schering Plough 	SAPHRIS 	101710188 	5mg 	com subl 	29/12/2015
Maleato de asenapina 	Schering Plough 	SAPHRIS 	101710188 	10mg 	com subl 	29/12/2015
Maleato de fluvoxamina 	Abbott 	LUVOX 	105530352 	50mg 	com rev 	12/11/2012
Maleato de fluvoxamina 	Abbott 	LUVOX 	105530352 	100mg 	com rev 	12/11/2012
Manidipino (dicloridrato) 	Chiesi 	MANIVASC 	100580089 	10mg 	com 	12/11/2012
Manidipino (dicloridrato) 	Chiesi 	MANIVASC 	100580089 	20mg 	com 	12/11/2012
Maraviroque 	Glaxosmithkline 	CELSENTRI 	101070283 	150mg 	com rev 	30/4/2013
Maraviroque 	Glaxosmithkline 	CELSENTRI 	101070283 	300mg 	com rev 	30/4/2013
Mebendazol 	Janssen Cilag 	PANTELMIN 	112363333 	500mg 	com 	12/11/2012
Mebendazol 	Janssen Cilag 	PANTELMIN 	112363333 	20mg/mL 	sus or 	12/11/2012
Mebeverina (cloridrato) 	Abbott 	DUSPATALIN 	105530353 	200mg 	cap lib prol 	12/11/2012
Meclizina (cloridrato) 	Apsen Farmacêutica 	MECLIN 	101180165 	12,5mg 	com 	12/11/2012
Meclizina (cloridrato) 	Apsen Farmacêutica 	MECLIN 	101180165 	25mg 	com 	12/11/2012
Meclizina (cloridrato) 	Apsen Farmacêutica 	MECLIN 	101180165 	50mg 	com 	12/11/2012
Medroxiprogesterona (acetato) 	Pfizer 	DEPO-PROVERA 	102160213 	150mg/mL 	sus inj 	12/11/2012
Medroxiprogesterona (acetato) 	Pfizer 	PROVERA 	102160196 	2,5mg 	com 	12/11/2012
Medroxiprogesterona (acetato) 	Pfizer 	PROVERA 	102160196 	5mg 	com 	12/11/2012
Medroxiprogesterona (acetato) 	Pfizer 	PROVERA 	102160196 	10mg 	com 	12/11/2012
Mefenâmico, ácido 	Pfizer 	PONSTAN 	102160093 	500mg 	com 	12/11/2012
Melfalana 	Glaxosmithkline 	ALKERAN 	101070176 	2 mg 	com rev 	12/11/2012
Melfalana 	Glaxosmithkline 	ALKERAN 	101070176 	50mg 	po liof sol inj 	12/11/2012
Megestrol (acetato) 	Bristol Myers Squibb 	MEGESTAT 	101800142 	160 mg 	com 	12/11/2012
Meglumina (antimoniato) 	Sanofi-Aventis 	GLUCANTIME 	113000084 	300mg/mL 	sol inj 	12/11/2012
Meloxicam 	Boehringer Ingelheim 	MOVATEC 	103670102 	10mg/mL 	sol inj 	12/11/2012
Meloxicam 	Boehringer Ingelheim 	MOVATEC 	103670102 	15mg 	com 	12/11/2012
Memantina (cloridrato) 	Lundbeck 	EBIX 	104750050 	10mg 	com rev 	12/11/2012
Memantina (cloridrato) 	Lundbeck 	EBIX 	104750050 	20mg 	com rev 	29/1/2016
Mercaptopurina 	Aspen Pharma 	PURINETHOL 	137640133 	50mg 	com 	12/11/2012
Meropeném triidratado 	Astrazeneca 	MERONEM IV 	116180056 	500mg 	po sol inj 	12/11/2012
Meropeném triidratado 	Astrazeneca 	MERONEM IV 	116180056 	1000mg 	po sol inj 	12/11/2012
Meropeném triidratado 	Eurofarma 	MEROMAX 	100431008 	2g 	po sol inj 	12/11/2012
Mesalazina 	Nycomed 	MESACOL 	106390248 	500mg 	sup ret 	12/11/2012
Mesalazina 	Nycomed 	MESACOL 	106390248 	800mg 	com rev 	12/11/2012
Mesalazina 	Ferring 	PENTASA 	128760002 	1000mg 	sup ret 	12/11/2012
Mesalazina 	Ferring 	PENTASA 	128760002 	500mg 	com lib prol 	12/11/2012
Mesalazina 	Ferring 	PENTASA ENEMA 	128760002 	10mg/mL 	enema ret 	12/11/2012
Mesalazina 	Merck S/A 	ASALIT 	100890168 	250mg 	sup 	12/11/2012
Mesalazina 	Merck S/A 	ASALIT 	100890168 	3g 	sus ret 	12/11/2012
Mesalazina 	Brainfarma 	MESALAZINA GENERICO 	155840259 	400mg 	com rev 	2/8/2013
Metformina (cloridrato) 	Merck S/A 	GLIFAGE 	100890193 	500mg 	com rev 	12/11/2012
Metformina (cloridrato) 	Merck S/A 	GLIFAGE 	100890193 	850mg 	com rev 	12/11/2012
Metformina (cloridrato) 	Merck S/A 	GLIFAGE 	100890193 	1000mg 	com rev 	12/11/2012
Metformina (cloridrato) 	Merck S/A 	GLIFAGE XR 	100890340 	750mg 	com lib prol 	12/11/2012
Metformina (cloridrato) 	Merck S/A 	GLIFAGE XR 	100890340 	500mg 	com lib prol 	12/11/2012
Metformina (cloridrato) 	Merck S/A 	GLIFAGE XR 	100890340 	1000mg 	com lib prol 	12/11/2012
Metildopa 	Aspen Pharma 	ALDOMET 	137640117 	250mg 	com rev 	12/11/2012
Metildopa 	Aspen Pharma 	ALDOMET 	137640117 	500mg 	com rev 	12/11/2012
Metilergotamina (maletato) 	Novartis Biociências 	METHERGIN 	100680076 	0,125mg 	drag 	12/11/2012
Metilergotamina (maletato) 	Novartis Biociências 	METHERGIN 	100680076 	0,2mg/mL 	sol inj 	12/11/2012
Metilfenidato (cloridrato) 	Novartis Biociências 	RITALINA 	100680080 	10mg 	com 	12/11/2012
Metilfenidato (cloridrato) 	Novartis Biociências 	RITALINA LA 	100680080 	10mg 	cap dura lib mod 	12/11/2012
Metilfenidato (cloridrato) 	Novartis Biociências 	RITALINA LA 	100680080 	20mg 	cap dura lib mod 	12/11/2012
Metilfenidato (cloridrato) 	Novartis Biociências 	RITALINA LA 	100680080 	30mg 	cap dura lib mod 	12/11/2012
Metilfenidato (cloridrato) 	Novartis Biociências 	RITALINA LA 	100680080 	40mg 	cap dura lib mod 	12/11/2012
Metilfenidato (cloridrato) 	Janssen Cilag 	CONCERTA 	112363357 	18mg 	com rev lib prol 	12/11/2012
Metilfenidato (cloridrato) 	Janssen Cilag 	CONCERTA 	112363357 	36mg 	com rev lib prol 	12/11/2012
Metilfenidato (cloridrato) 	Janssen Cilag 	CONCERTA 	112363357 	54mg 	com rev lib prol 	12/11/2012
Metilprednisolona (aceponato) 	Bayer 	ADVANTAN 	170560085 	1mg/g 	crem derm 	12/11/2012
Metilprednisolona (acetato) 	Pfizer 	DEPO MEDROL 	102160126 	40mg/mL 	sus inj 	12/11/2012
Metilprednisolona (succinato sódico) 	Pfizer 	SOLU-MEDROL 	102160146 	40mg 	po liof sol inj 	12/11/2012
Metilprednisolona (succinato sódico) 	Pfizer 	SOLU-MEDROL 	102160146 	125mg 	po liof sol inj 	12/11/2012
Metilprednisolona (succinato sódico) 	Pfizer 	SOLU-MEDROL 	102160146 	500mg 	po liof sol inj 	12/11/2012
Metilprednisolona (succinato sódico) 	Pfizer 	SOLU-MEDROL 	102160146 	1000mg 	po liof sol inj 	12/11/2012
Metoclopramida (cloridrato) 	Sanofi-Aventis 	PLASIL 	113000193 	10mg 	com 	12/11/2012
Metoclopramida (cloridrato) 	Sanofi-Aventis 	PLASIL 	113000193 	1mg/mL 	sol or 	12/11/2012
Metoclopramida (cloridrato) 	Sanofi-Aventis 	PLASIL 	113000193 	4mg/mL 	sol or (got) 	12/11/2012
Metoclopramida (cloridrato) 	Sanofi-Aventis 	PLASIL 	113000193 	5mg/mL 	sol inj 	12/11/2012
Metoprolol (succinato) 	Astrazeneca 	SELOZOK 	116180077 	25mg 	com rev lib prol 	12/11/2012
Metoprolol (succinato) 	Astrazeneca 	SELOZOK 	116180077 	50mg 	com rev lib prol 	12/11/2012
Metoprolol (succinato) 	Astrazeneca 	SELOZOK 	116180077 	100mg 	com rev lib prol 	12/11/2012
Metoprolol (tartarato) 	Novartis Biociências 	LOPRESSOR 	100680066 	100mg 	com rev 	12/11/2012
Metoprolol (tartarato) 	AstraZeneca 	SELOKEN 	116180071 	100mg 	com 	12/11/2012
Metoprolol (tartarato) 	AstraZeneca 	SELOKEN 	116180071 	1mg/mL 	sol inj 	12/11/2012
Metronidazol 	Sanofi-Aventis 	FLAGYL 	113000078 	250mg 	com rev 	12/11/2012
Metronidazol 	Sanofi-Aventis 	FLAGYL 	113000078 	400mg 	com rev 	12/11/2012
Metronidazol 	Sanofi-Aventis 	FLAGYL 	113000078 	5mg/mL 	sol inj 	12/11/2012
Metronidazol 	Sanofi-Aventis 	FLAGYL GINECOLÓGICO 	113000078 	100mg/g 	geleia vag 	12/11/2012
Metronidazol 	Galderma 	ROZEX 	129160007 	7,5mg/g 	gel 	6/6/2013
Micafungina sódica 	Astellas 	MYCAMINE 	177170001 	100mg 	po liof sol inj 	1/7/2014
Micofenolato sódico 	Novartis Biociências 	MYFORTIC 	100680897 	180mg 	com rev 	12/11/2012
Micofenolato sódico 	Novartis Biociências 	MYFORTIC 	100680897 	360mg 	com rev 	12/11/2012
Miconazol 	Janssen Cilag 	DAKTARIN GEL ORAL 	112363402 	20mg/ml 	gel or 	12/11/2012
Miconazol (nitrato) 	Brainfarma 	DAKTAZOL 	155840205 	20mg/ml 	loç cremosa 	7/10/2013
Miconazol (nitrato) 	Teuto 	NITRATO DE MICONAZOL 	103700296 	20mg/g 	crem vag 	1/7/2014
Midazolam 	Roche 	DORMONID 	101000135 	1mg/mL 	sol inj 	12/11/2012
Midazolam 	Roche 	DORMONID 	101000135 	5mg/mL 	sol inj 	12/11/2012
Midazolam (maleato) 	Roche 	DORMONID 	101000135 	7,5mg 	com rev 	12/11/2012
Midazolam (maleato) 	Roche 	DORMONID 	101000135 	15mg 	com rev 	12/11/2012
Miglustate 	Actelion 	ZAVESCA 	155380002 	100mg 	cap gel dura 	1/7/2014
Milrinona (lactato) 	Sanofi-Aventis 	PRIMACOR 	113001015 	1mg/mL 	sol inj 	12/11/2012
Minociclina (cloridrato) 	Ranbaxy 	GENÉRICO 	123520091 	100mg 	com rev 	30/4/2013
Minoxidil 	Pfizer 	LONITEN 	102160171 	10mg 	com 	12/11/2012
Minoxidil 	Theraskin 	ALOXIDIL 	101910304 	50 mg/mL 	sol capilar 	25/3/2013
Mirtazapina 	Schering Plough 	REMERON SOLTAB 	101710077 	15mg 	com orodisp 	12/11/2012
Mirtazapina 	Schering Plough 	REMERON SOLTAB 	101710077 	30mg 	com orodisp 	12/11/2012
Mirtazapina 	Schering Plough 	REMERON SOLTAB 	101710077 	45mg 	com orodisp 	12/11/2012
Mirtazapina 	Sandoz 	MIRTAZAPINA 	100470512 	30mg 	com rev 	12/11/2012
Mirtazapina 	Sandoz 	MIRTAZAPINA 	100470512 	45mg 	com rev 	12/11/2012
Misoprostol 	Infan 	PROSTOKOS 	115570044 	100mcg 	com vag 	1/7/2014
Mitomicina C 	Bristol Myers Squibb 	MITOCIN 	101800122 	0,5mg/mL 	po liof sol inj 	12/11/2012
Mitotano 	Bristol Myers Squibb 	LISODREN 	101800119 	500mg 	com rev 	12/11/2012
Moclobemida 	Meda Pharma 	AURORIX 	192980001 	150mg 	com rev 	12/11/2012
Moclobemida 	Meda Pharma 	AURORIX 	192980001 	300mg 	com rev 	12/11/2012
Modafinila 	Libbs 	STAVIGILE 	100330145 	100mg 	com 	23/9/2014
Modafinila 	Libbs 	STAVIGILE 	100330145 	200mg 	com 	12/11/2012
Mofetila (micofenolato) 	Roche 	CELLCEPT 	101000539 	500mg 	com rev 	12/11/2012
Mometasona (furoato) 	Hypermarcas 	OXIMAX 	172870488 	200mcg 	cap dura po inal or + inal 	12/11/2012
Mometasona (furoato) 	Hypermarcas 	OXIMAX 	172870488 	400mcg 	cap dura po inal or + inal 	12/11/2012
Mometasona (furoato) 	Schering Plough 	NASONEX 	101710191 	50mcg/dose 	sus spr nas 	12/11/2012
Monoetanolamina (oleato) 	Zest 	ETHAMOLIN 	149160002 	50mg/mL 	sol inj 	12/11/2012
Montelucaste sódico 	Merck Sharp & Dohme 	SINGULAIR 	100290005 	10mg 	com rev 	12/11/2012
Montelucaste sódico 	Merck Sharp & Dohme 	SINGULAIR 	100290005 	4mg 	com mast 	12/11/2012
Montelucaste sódico 	Merck Sharp & Dohme 	SINGULAIR 	100290005 	5mg 	com mast 	12/11/2012
Montelucaste sódico 	Merck Sharp & Dohme 	SINGULAIR BABY 	100290005 	4mg 	gran 	12/11/2012
Moxifloxacino (cloridrato) 	Novartis Biociências 	VIGAMOX 	100681112 	5mg/mL 	sol oft 	12/11/2012
Moxifloxacino (cloridrato) 	Bayer 	AVALOX 	170560031 	1,6mg/mL 	sol infus endovenosa 	12/11/2012
Moxifloxacino (cloridrato) 	Bayer 	AVALOX 	170560031 	400mg 	com rev 	12/11/2012
Mupirocina 	Glaxosmithkline 	BACTROBAN 	101070078 	20mg/g 	pom derm 	12/11/2012
Nalbufina (cloridrato) 	Cristália 	NUBAIN 	102980284 	10mg/mL 	sol inj 	13/3/2013
Naltrexona (cloridrato) 	Cristália 	REVIA 	102980164 	50 mg 	com 	29/10/2014
Naproxeno 	Bayer 	NAPROSYN 	170560028 	250mg 	com 	12/11/2012
Naproxeno 	Bayer 	NAPROSYN 	170560028 	500mg 	com 	12/11/2012
Naproxeno sódico 	Bayer 	FLANAX 	170560047 	275mg 	com rev 	12/11/2012
Naproxeno sódico 	Bayer 	FLANAX 	170560047 	550mg 	com rev 	12/11/2012
Nebivolol (cloridrato) 	Biolab Sanus 	NEBILET 	109740211 	5mg 	com 	12/11/2012
Neostigmina (metilsulfato) 	Valeant Farmacêutica 	PROSTIGMINE 	105750043 	0,5mg/mL 	sol inj 	12/11/2012
Nepafenaco 	Novartis Biociências 	NEVANAC 	100681105 	1mg/ml 	sus oft 	14/2/2013
Nevirapina 	Boehringer Ingelheim 	VIRAMUNE 	103670106 	10mg/mL 	sus or 	12/11/2012
Nicotina 	Johnson & Johnson 	NICORETTE 	157210008 	2mg 	goma 	12/11/2012
Nicotina 	Johnson & Johnson 	NICORETTE 	157210008 	4mg 	goma 	12/11/2012
Nicotina 	Glaxosmithkline 	NIQUITIN 	101070153 	7mg 	ades 	12/11/2012
Nicotina 	Glaxosmithkline 	NIQUITIN 	101070153 	14mg 	ades 	12/11/2012
Nicotina 	Glaxosmithkline 	NIQUITIN 	101070153 	21mg 	ades 	12/11/2012
Nifedipino 	Bayer 	ADALAT 	104290001 	10mg 	cap mole 	12/11/2012
Nifedipino 	Bayer 	ADALAT OROS 	104290001 	20mg 	com rev mult lib prol 	12/11/2012
Nifedipino 	Bayer 	ADALAT OROS 	104290001 	30mg 	com rev mult lib prol 	12/11/2012
Nifedipino 	Bayer 	ADALAT OROS 	104290001 	60mg 	com rev mult lib prol 	12/11/2012
Nifedipino 	Bayer 	ADALAT RETARD 	104290001 	10mg 	com rev 	12/11/2012
Nifedipino 	Bayer 	ADALAT RETARD 	104290001 	20mg 	com rev 	12/11/2012
Nilotinibe 	Novartis Biociências 	TASIGNA 	100681060 	200mg 	cap dura 	29/12/2015
Nimesulida 	Aché 	NISULID 	105730301 	50mg 	sup 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	100mg 	sup 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	100mg 	com 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	100mg 	com disp 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	100mg 	gran 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	50mg/mL 	sus or 	12/11/2012
Nimesulida 	Aché 	NISULID 	105730301 	10mg/mL 	sus or 	12/11/2012
Nimesulida 	Multilab 	NIZUIL GEL 	118190069 	20mg/g 	gel 	20/4/2015
Nimesulida 	Diffucap-Chemobras 	ARFLEX RETARD 	104300041 	200 mg 	cap lib prol 	12/11/2012
Nimodipino 	Ems Sigma Pharma 	NIMODIPINO 	135690361 	30mg 	com rev 	2/8/2013
Nistatina 	Takeda 	MICOSTATIN 	106390264 	25.000UI/g 	crem vag 	12/11/2012
Nistatina 	Bristol Myers Squibb 	MICOSTATIN 	101800037 	100.000UI/g 	crem derm 	12/11/2012
Nistatina 	Bristol Myers Squibb 	MICOSTATIN 	101800037 	200.000UI 	past 	12/11/2012
Nistatina 	Bristol Myers Squibb 	MICOSTATIN 	101800037 	500.000UI 	drag 	12/11/2012
Nistatina 	Teuto 	CANDITRAT 	103700078 	100.000UI/ml 	sus or 	29/10/2014
Nitazoxanida 	Farmoquímica 	ANNITA 	103900173 	500mg 	com 	12/11/2012
Nitazoxanida 	Farmoquímica 	ANNITA 	103900173 	20mg/mL 	sus or 	12/11/2012
Nitrofurantoína 	Hypermarcas 	MACRODANTINA 	172870486 	100mg 	cap dura 	12/11/2012
Nitroglicerina 	Novartis Biociências 	NITRODERM TTS 	100680092 	25mg 	ades 	12/11/2012
Nitroglicerina 	Novartis Biociências 	NITRODERM TTS 	100680092 	50mg 	ades 	12/11/2012
Nitrufural 	Mantecorp 	FURACIN 	172870508 	2mg/g 	pom derm 	12/11/2012
Nitrufural 	Mantecorp 	FURACIN 	172870508 	2mg/mL 	sol top 	12/11/2012
Noratriptano (cloridrato) 	Glaxosmithkline 	NARAMIG 	101070259 	2,5 mg 	com rev 	12/11/2012
Noretisterona 	Janssen Cilag 	MICRONOR 	112363334 	0,35mg 	com 	12/11/2012
Nortriptilina (cloridrato) 	Novartis Biociências 	PAMELOR 	100680025 	2mg/mL 	sol or 	12/11/2012
Nortriptilina (cloridrato) 	Novartis Biociências 	PAMELOR 	100680025 	10mg 	cap dura 	12/11/2012
Nortriptilina (cloridrato) 	Novartis Biociências 	PAMELOR 	100680025 	25mg 	cap dura 	12/11/2012
Nortriptilina (cloridrato) 	Novartis Biociências 	PAMELOR 	100680025 	50mg 	cap dura 	12/11/2012
Nortriptilina (cloridrato) 	Novartis Biociências 	PAMELOR 	100680025 	75mg 	cap dura 	12/11/2012
Ocitocina 	Novartis Biociências 	SYNTOCINON 	100680034 	5UI/mL 	sol inj 	12/11/2012
Ocitocina 	Novartis Biociências 	SYNTOCINON 	100680034 	40UI/mL 	sol spr nas 	12/11/2012
Octreotida 	Novartis Biociências 	SANDOSTATIN 	100680009 	0,05mg/mL 	sol inj 	12/11/2012
Octreotida 	Novartis Biociências 	SANDOSTATIN 	100680009 	0,1mg/mL 	sol inj 	12/11/2012
